X,Y,OBJECTID,Naziv_stajališta,Linije,Opis,Napomena
15.9752800000001,45.8194329990001,577,Ilirski trg - istok        ,"105, 150",,Zbog radova linija 105 Kaptol - Britanski trg prometuje s Kaptola redovitom trasom do križanja Jurjevska/Gornje Prekrižje – (desno) Gornje Prekrižje – kružni tok – (desno) Ulica Pantovčak – dalje ulicom Pantovčak do Britanskog trga. U povratku s Britanskog trga autobusna linija prometovat će istom trasom uz obrnuti redoslijed ulica
15.9750960000001,45.819110999,578,Ilirski trg - jug,150,smjer trg bana Josipa Jelačića,
15.985827,45.8292019990001,579,Inst. R. Bošković - istok   ,"106,201,203,226,238",smjer Krematorij\Srebrnjak,
15.9852740000001,45.8288259990001,580,Inst. R. Bošković - zapad   ,"106,201,203,226,238",smjer Kaptol,
15.936946,45.751183999,581,Institut za bilje - istok ,"159,160,163",smjer Savski most,
15.936767,45.751206999,582,Institut za bilje - zapad  ,"159,160,163",smjer Odranski Obrež,
15.990978,45.773200999,583,Islandska - istok,"109,219,220,229",smjer Glavni kolodvor,
15.988821,45.772394999,584,Islandska - jug          ,221,smjer ulica Savezne Republike Njemačke,
15.9899160000001,45.772704999,585,Islandska - sjever          ,"166,221,241,268",smjer Glavni kolodvor,
15.9905810000001,45.7719479990001,586,Islandska - zapad           ,"109,166,219,220,229,241,268",smjer Dugave\Sloboština\Buzin,
16.158511,45.859338999,587,Ivana Granjđe 6 - istok    ,274,smjer prema gradu,
16.1587720000001,45.858798999,588,Ivana Granjđe 6 - zapad   ,274,smjer Laktec,
16.098422,45.8290269990001,589,Ivana Šturlića 15 - jug,283,smjer Sesvete,
16.1184870000001,45.799185999,590,Ivanja Reka - okretište - istok,216,smjer Slavonska avenija,
16.11897,45.797872999,591,Ivanja Reka - okretište - sjever  ,"216,276,284",okretište Ivanja Reka,
16.119789,45.797224999,592,Ivanja Reka - okretište - zapad ,276,smjer Sop,
16.1137650000001,45.7998039990001,593,Ivanjorečka - pošta - jug   ,"216,276",smjer okretište Ivanja Reka ,
16.1135820000001,45.799924999,594,Ivanjorečka - pošta - sjever  ,"216,276",smjer Čulinečka cesta,
16.0817420010001,45.8296549990001,595,Ivankovićeva - istok       ,"211,223",smjer okretište Dubrava,
16.0815170000001,45.829575999,596,Ivankovićeva - zapad      ,"211,223",smjer okretište Dubec,
16.056115,45.867495999,597,Ivanovićeva ulica - istok   ,209,smjer Čučerje ,
16.0559420010001,45.867426999,598,Ivanovićeva ulica - zapad ,209,smjer terminal Dubrava,
16.097804001,45.8294139990001,599,Ive Dulčića - istok        ,283,smjer ulica Rebro,
16.124819001,45.8190939990001,600,Ivice Lovinčića - jug     ,277,smjer Sesvetska Selnica,
16.12595,45.8190309990001,601,Ivice Lovinčića - sjever     ,277,smjer Sesvete,
15.937977,45.822191999,602,Jablanovac - zapad         ,128,smjer Črnomerec,
15.898668,45.823524999,603,Jačkovina 105 - zapad       ,142,smjer Vrapčanska aleja,
15.900222,45.8174529990001,604,Jačkovina 46 - jug       ,142,smjer Vrapčanska aleja,
15.897706,45.819846999,605,Jačkovina 53 - zapad        ,142,smjer Vrapčanska aleja,
15.9426310010001,45.7734189990001,606,Jadranska av. -Arena - jug,"132,",smjer Savski most,
15.9421409990001,45.7738019990001,607,Jadranska av. -Arena - sjever,132,smjer Lučko,
16.0157800000001,45.760480999,608,"Jakuševec, centar - jug ","307,308",smjer Mičevec,
16.015404001,45.760547999,609,"Jakuševec, centar - sjever","295,307,308",smjer Zapruđe,
16.0207710010001,45.7577729990001,610,"Jakuševec, groblje - jug ","307,308",smjer Kosnica,
16.020566,45.7582619990001,611,"Jakuševec, groblje - sjever ","307,308",smjer Zapruđe,
16.0110940000001,45.7608299990001,612,"Jakuševec, škola - jug    ","307,308",smjer Jakuševec centar,
16.010953,45.760912999,613,"Jakuševec, škola - sjever   ","295,307,308",smjer Zapruđe,
16.074716,45.8804249990001,614,Jalševec - ulaz\izlaz linija 213           ,213,okretište Jalševec,
15.9066710000001,45.8233299990001,615,Jalšina - istok            ,125,smjer Gornje Vrapče,
15.9065180000001,45.822863999,616,Jalšina - zapad            ,125,smjer Črnomerec,
15.9765380000001,45.836983999,617,Jandrićeva - izlaz linija 104      ,104,okretište Jandrićeva ulica,
15.9767430000001,45.836962999,618,Jandrićeva - ulaz linija 104        ,104,smjer Nemetova ulica,
15.880523,45.811570999,619,Jankomir - jug           ,"119,146",smjer  Črnomerec\Malešnica,
15.878787,45.811564999,620,Jankomir - sjever           ,119,smjer Podsused - most,
15.8786040000001,45.8101349990001,621,Jankomir - zapad           ,146,smjer Jankomir,
15.8245509990001,45.837365999,622,Jarek - zapad             ,"172,176,177",smjer Črnomerec,
15.8982760000001,45.791838999,623,DVD Prečko - sjever,"114,134",smjer Prečko terminal,
15.9013550010001,45.790877999,624,Dore Pejačević - sjever,"114,134",smjer Prečko terminal,
15.894728,45.793083999,625,Paljetkova - sjever,"114,134",smjer Prečko terminal,
15.9260180000001,45.783942999,626,Jarun - ulaz\izlaz linija 114,113,okretište Jarun,
15.9358520000001,45.768855999,627,Jaruščica - jug,"112,222",smjer Žitnjak,
15.936157,45.7689589990001,628,Jaruščica - sjever,"112,222",smjer okretište Jaruščica,
